[2021-03-18 21:12:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:13:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:14:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:15:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:16:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:17:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:18:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:19:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:20:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:21:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:22:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:23:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:24:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:25:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:26:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:27:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-18 21:28:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
